YeshuvName,MunicipalName,total
דגניה ב' ,מועצה אזורית עמק הירדן ,847
נהלל ,מועצה אזורית עמק יזרעאל ,1410
עין חרוד )מאוחד( ,מועצה אזורית הגלבוע,1027
תל יוסף ,מועצה אזורית הגלבוע,623
כפר יחזקאל ,מועצה אזורית הגלבוע,1262
גבע ,מועצה אזורית הגלבוע,699
כרם בן שמן ,מועצה אזורית חבל מודיעין ,101
עין חרוד )איחוד( ,מועצה אזורית הגלבוע,720
חפצי-בה ,מועצה אזורית הגלבוע,920
גיניגר ,מועצה אזורית עמק יזרעאל ,887
בלפוריה ,מועצה אזורית עמק יזרעאל ,611
בית אלפא ,מועצה אזורית הגלבוע,1246
יגור ,מועצה אזורית זבולון ,1881
מרחביה )מושב( ,מועצה אזורית עמק יזרעאל ,782
"כפר מל""ל ",מועצה אזורית דרום השרון ,345
מצפה רמון , ,5976
מאיר שפיה ,מועצה אזורית חוף הכרמל ,147
תל עדשים ,מועצה אזורית עמק יזרעאל ,1328
מזרע ,מועצה אזורית עמק יזרעאל ,1039
כפר גדעון ,מועצה אזורית עמק יזרעאל ,379
כפר סילבר ,מועצה אזורית חוף אשקלון ,135
כפר חסידים א' ,מועצה אזורית זבולון ,803
אדירים ,מועצה אזורית הגלבוע,350
חופית ,מועצה אזורית עמק חפר ,1038
רמת ישי , ,8554
שריד ,מועצה אזורית עמק יזרעאל ,1163
רמת רחל ,מועצה אזורית מטה יהודה ,566
גת רימון ,מועצה אזורית דרום השרון ,249
משמר העמק ,מועצה אזורית מגידו ,1437
כפר ברוך ,מועצה אזורית עמק יזרעאל ,835
גבת ,מועצה אזורית עמק יזרעאל ,1106
יפעת ,מועצה אזורית עמק יזרעאל ,1347
רמת דוד ,מועצה אזורית עמק יזרעאל ,735
עין שמר ,מועצה אזורית מנשה ,1054
כפר יהושע ,מועצה אזורית עמק יזרעאל ,1302
ברק ,מועצה אזורית הגלבוע,440
שדה יעקב ,מועצה אזורית עמק יזרעאל ,1121
בית זרע ,מועצה אזורית עמק הירדן ,849
גן שלמה ,מועצה אזורית ברנר ,666
גדיש ,מועצה אזורית הגלבוע,395
דבורה ,מועצה אזורית הגלבוע,351
גבעת מועצה אזורית ברנר ,מועצה אזורית ברנר ,2809
תל מונד , ,16495
מועצה אזורית באר טוביה ,מועצה אזורית באר טוביה ,1276
עיינות ,מועצה אזורית גן רווה ,195
עין ורד ,מועצה אזורית לב השרון ,1626
נען ,מועצה אזורית גזר ,2054
בית חנן ,מועצה אזורית גן רווה ,657
חולדה ,מועצה אזורית גזר ,1383
חירות ,מועצה אזורית לב השרון ,1353
תימורים ,מועצה אזורית באר טוביה ,816
מלאה ,מועצה אזורית הגלבוע,383
ניר יפה ,מועצה אזורית הגלבוע,718
גן יבנה , ,27346
עין החורש ,מועצה אזורית עמק חפר ,1025
כפר יונה , ,30395
כפר יעבץ ,מועצה אזורית לב השרון ,796
פרדסיה , ,8401
גבעת חיים )מאוחד( ,מועצה אזורית עמק חפר ,1314
נטעים ,מועצה אזורית גן רווה ,790
אביחיל ,מועצה אזורית עמק חפר ,1373
אפיקים ,מועצה אזורית עמק הירדן ,1430
"כפר ביל""ו ",מועצה אזורית גזר ,1164
רמת יוחנן ,מועצה אזורית זבולון ,1314
אבן יהודה , ,16002
ירקונה ,מועצה אזורית דרום השרון ,385
רמת הכובש ,מועצה אזורית דרום השרון ,1146
נעורים ,מועצה אזורית עמק חפר ,207
כפר הס ,מועצה אזורית לב השרון ,1474
אשדות יעקב )מאוחד( ,מועצה אזורית עמק הירדן ,920
כפר פינס ,מועצה אזורית מנשה ,707
כפר ויתקין ,מועצה אזורית עמק חפר ,1974
הדר עם ,מועצה אזורית עמק חפר ,807
כפר החורש ,מועצה אזורית עמק יזרעאל ,813
כפר חיים ,מועצה אזורית עמק חפר ,615
משמר השרון ,מועצה אזורית עמק חפר ,829
קדימה-צורן , ,23879
גיבתון ,מועצה אזורית ברנר ,436
מעברות ,מועצה אזורית עמק חפר ,1071
צופית ,מועצה אזורית דרום השרון ,1098
אשדות יעקב )איחוד( ,מועצה אזורית עמק הירדן ,1018
בית ינאי ,מועצה אזורית עמק חפר ,431
בית עובד ,מועצה אזורית גן רווה ,362
אלישיב ,מועצה אזורית עמק חפר ,712
חגלה ,מועצה אזורית עמק חפר ,816
רמות השבים ,מועצה אזורית דרום השרון ,1728
"גבעת ח""ן ",מועצה אזורית דרום השרון ,416
מוצא עילית ,מועצה אזורית מטה יהודה ,1655
בית צבי ,מועצה אזורית חוף הכרמל ,98
משמרות ,מועצה אזורית מנשה ,1392
"כפר הרא""ה ",מועצה אזורית עמק חפר ,1286
גני עם ,מועצה אזורית דרום השרון ,268
חיבת ציון ,מועצה אזורית עמק חפר ,979
כפר ביאליק ,מועצה אזורית זבולון ,643
עין עירון ,מועצה אזורית מנשה ,585
שושנת העמקים ,מועצה אזורית עמק חפר ,591
גן המועצה אזורית שומרון ,מועצה אזורית מנשה ,948
גני תקווה , ,26463
מעש ,מועצה אזורית דרום השרון ,956
שפיים ,מועצה אזורית חוף השרון ,1605
כפר ידידיה ,מועצה אזורית עמק חפר ,756
ביצרון ,מועצה אזורית באר טוביה ,1207
חבצלת השרון ,מועצה אזורית עמק חפר ,454
שער העמקים ,מועצה אזורית זבולון ,835
גן חיים ,מועצה אזורית דרום השרון ,717
יקנעם עילית , ,27632
יקנעם )מושבה( ,מועצה אזורית מגידו ,1475
בית השיטה ,מועצה אזורית הגלבוע,1551
נתיבות , ,59429
רשפון ,מועצה אזורית חוף השרון ,1383
בית שערים ,מועצה אזורית עמק יזרעאל ,734
כפר סירקין ,מועצה אזורית דרום השרון ,1508
הזורע ,מועצה אזורית מגידו ,1311
ביתן אהרן ,מועצה אזורית עמק חפר ,332
חולתה ,מועצה אזורית הגליל העליון ,878
כפר המכבי ,מועצה אזורית זבולון ,505
כפר חיטים ,מועצה אזורית הגליל התחתון ,677
ניר דוד )תל עמל( ,מועצה אזורית עמק המעיינות ,994
נופך ,מועצה אזורית חבל מודיעין ,632
שדה נחום ,מועצה אזורית עמק המעיינות ,1276
גינוסר ,מועצה אזורית עמק הירדן ,813
מסדה ,מועצה אזורית עמק הירדן ,418
שער המועצה אזורית גולן ,מועצה אזורית עמק הירדן ,631
בית יוסף ,מועצה אזורית עמק המעיינות ,517
כפר שמריהו , ,2571
טירת צבי ,מועצה אזורית עמק המעיינות ,1109
מולדת ,מועצה אזורית הגלבוע,1229
עין השופט ,מועצה אזורית מגידו ,1269
מעוז חיים ,מועצה אזורית עמק המעיינות ,643
עין גב ,מועצה אזורית עמק הירדן ,664
כפר מנחם ,מועצה אזורית יואב ,1465
צור משה ,מועצה אזורית לב השרון ,2814
אושה ,מועצה אזורית זבולון ,709
חניתה ,מועצה אזורית מטה אשר ,1025
פקיעין חדשה ,מועצה אזורית מעלה יוסף ,602
שבי ציון ,מועצה אזורית מטה אשר ,1471
שדה ורבורג ,מועצה אזורית דרום השרון ,1406
אלונים ,מועצה אזורית עמק יזרעאל ,869
מעלה החמישה ,מועצה אזורית מטה יהודה ,973
תל יצחק ,מועצה אזורית חוף השרון ,934
בית יהושע ,מועצה אזורית חוף השרון ,1184
עין המפרץ ,מועצה אזורית מטה אשר ,1037
מעין צבי ,מועצה אזורית חוף הכרמל ,985
שרונה ,מועצה אזורית הגליל התחתון ,667
שדה מועצה אזורית יואב ,מועצה אזורית יואב ,675
אילון ,מועצה אזורית מטה אשר ,1318
כפר רופין ,מועצה אזורית עמק המעיינות ,638
נווה איתן ,מועצה אזורית עמק המעיינות ,310
כפר מסריק ,מועצה אזורית מטה אשר ,888
מסילות ,מועצה אזורית עמק המעיינות ,611
דליה ,מועצה אזורית מגידו ,1052
בית עוזיאל ,מועצה אזורית גזר ,704
דפנה ,מועצה אזורית הגליל העליון ,1120
דן ,מועצה אזורית הגליל העליון ,898
שדה אליהו ,מועצה אזורית עמק המעיינות ,958
גשר ,מועצה אזורית עמק המעיינות ,578
שדמות דבורה ,מועצה אזורית הגליל התחתון ,808
הזורעים ,מועצה אזורית הגליל התחתון ,1309
מחניים ,מועצה אזורית הגליל העליון ,864
נהורה ,מועצה אזורית לכיש ,1274
כפר גליקסון ,מועצה אזורית מנשה ,463
גן שורק ,מועצה אזורית גן רווה ,379
נווה ים ,מועצה אזורית חוף הכרמל ,402
אפק ,מועצה אזורית מטה אשר ,859
נגבה ,מועצה אזורית יואב ,1085
כפר נטר ,מועצה אזורית חוף השרון ,1101
בית אורן ,מועצה אזורית חוף הכרמל ,599
עמיעוז ,מועצה אזורית אשכול ,330
עמיר ,מועצה אזורית הגליל העליון ,763
כפר ורבורג ,מועצה אזורית באר טוביה ,1198
בית הלל ,מועצה אזורית מבואות החרמון ,1092
שאר ישוב ,מועצה אזורית מבואות החרמון ,755
מצובה ,מועצה אזורית מטה אשר ,1322
בית יצחק-שער חפר ,מועצה אזורית עמק חפר ,2379
שדות ים ,מועצה אזורית חוף הכרמל ,1171
עזוז ,מועצה אזורית רמת נגב ,94
שדה נחמיה ,מועצה אזורית הגליל העליון ,1196
אלומות ,מועצה אזורית עמק הירדן ,532
ניר צבי ,מועצה אזורית שדות דן ,1298
קבוצת יבנה ,מועצה אזורית חבל יבנה ,853
רמת השופט ,מועצה אזורית מגידו ,1230
דורות ,מועצה אזורית שער הנגב ,880
איבים ,מועצה אזורית שער הנגב ,485
רמת צבי ,מועצה אזורית הגלבוע,801
גת )קיבוץ( ,מועצה אזורית יואב ,1051
גברעם ,מועצה אזורית חוף אשקלון ,755
חמדיה ,מועצה אזורית עמק המעיינות ,545
מענית ,מועצה אזורית מנשה ,955
כפר סאלד ,מועצה אזורית הגליל העליון ,731
גליל ים ,מועצה אזורית חוף השרון ,587
מנרה ,מועצה אזורית הגליל העליון ,316
ניר עם ,מועצה אזורית שער הנגב ,797
ניצן ,מועצה אזורית חוף אשקלון ,2690
גבולות ,מועצה אזורית אשכול ,517
בית זיד ,מועצה אזורית עמק יזרעאל ,120
רביבים ,מועצה אזורית רמת נגב ,960
חורשים ,מועצה אזורית דרום השרון ,442
הגושרים ,מועצה אזורית הגליל העליון ,1358
כפר בלום ,מועצה אזורית הגליל העליון ,1061
יד מרדכי ,מועצה אזורית חוף אשקלון ,1046
ניצנים ,מועצה אזורית חוף אשקלון ,736
"גבעת ניל""י ",מועצה אזורית אלונה ,639
רוחמה ,מועצה אזורית שער הנגב ,833
חפץ חיים ,מועצה אזורית נחל שורק ,722
כפר אוריה ,מועצה אזורית מטה יהודה ,851
בית קשת ,מועצה אזורית הגליל התחתון ,858
שמיר ,מועצה אזורית הגליל העליון ,1008
עין העמק ,מועצה אזורית מגידו ,870
ביריה ,מועצה אזורית מרום הגליל ,933
גלעד )אבן יצחק( ,מועצה אזורית מגידו ,589
מועצה אזורית גזר ,מועצה אזורית גזר ,571
כדורי ,מועצה אזורית הגליל התחתון ,86
רמות נפתלי ,מועצה אזורית מבואות החרמון ,595
בית הלוי ,מועצה אזורית עמק חפר ,818
חוקוק ,מועצה אזורית עמק הירדן ,844
מגל ,מועצה אזורית מנשה ,1409
עברון ,מועצה אזורית מטה אשר ,1069
המעפיל ,מועצה אזורית עמק חפר ,1058
מועצה אזורית משגב עם ,מועצה אזורית הגליל העליון ,398
גאולים ,מועצה אזורית לב השרון ,980
להבות הבשן ,מועצה אזורית הגליל העליון ,975
מכמורת ,מועצה אזורית עמק חפר ,1571
"עין הנצי""ב ",מועצה אזורית עמק המעיינות ,786
עמיעד ,מועצה אזורית הגליל העליון ,726
בני דרור ,מועצה אזורית לב השרון ,1283
כפר מונש ,מועצה אזורית עמק חפר ,947
כפר קיש ,מועצה אזורית הגליל התחתון ,816
בצרה ,מועצה אזורית חוף השרון ,1100
רגבה ,מועצה אזורית מטה אשר ,1085
קדמה ,מועצה אזורית יואב ,37
גלאון ,מועצה אזורית יואב ,771
שובל ,מועצה אזורית בני שמעון ,1011
משמר הנגב ,מועצה אזורית בני שמעון ,1347
נבטים ,מועצה אזורית בני שמעון ,1166
חצרים ,מועצה אזורית בני שמעון ,1150
שרשרת ,מועצה אזורית שדות נגב ,427
בארי ,מועצה אזורית אשכול ,1224
אבן שמואל ,מועצה אזורית שפיר ,2029
ניר יצחק ,מועצה אזורית אשכול ,701
אורים ,מועצה אזורית אשכול ,599
נווה אילן ,מועצה אזורית מטה יהודה ,1127
חצור-אשדוד ,מועצה אזורית באר טוביה ,1099
דברת ,מועצה אזורית עמק יזרעאל ,679
נאות מרדכי ,מועצה אזורית הגליל העליון ,810
יחיעם ,מועצה אזורית מטה אשר ,961
קרית שלמה ,מועצה אזורית חוף השרון ,8
צאלים ,מועצה אזורית אשכול ,510
קלחים ,מועצה אזורית מרחבים ,658
שוקדה ,מועצה אזורית שדות נגב ,796
מעין ברוך ,מועצה אזורית הגליל העליון ,862
יקום ,מועצה אזורית חוף השרון ,889
בני ציון ,מועצה אזורית חוף השרון ,1168
סעד ,מועצה אזורית שדות נגב ,1068
משאבי שדה ,מועצה אזורית רמת נגב ,669
חרב לאת ,מועצה אזורית עמק חפר ,895
העוגן ,מועצה אזורית עמק חפר ,991
גבים ,מועצה אזורית שער הנגב ,702
משמרת ,מועצה אזורית לב השרון ,952
עין כרמל ,מועצה אזורית חוף הכרמל ,866
כפר גלים ,מועצה אזורית חוף הכרמל ,163
ברור חיל ,מועצה אזורית שער הנגב ,1181
אלוני אבא ,מועצה אזורית עמק יזרעאל ,1039
בית לחם הגלילית ,מועצה אזורית עמק יזרעאל ,869
דלתון ,מועצה אזורית מרום הגליל ,1042
שמרת ,מועצה אזורית מטה אשר ,726
נחשולים ,מועצה אזורית חוף הכרמל ,792
החותרים ,מועצה אזורית חוף הכרמל ,964
נצר סרני ,מועצה אזורית גזר ,1147
עין דור ,מועצה אזורית עמק יזרעאל ,1432
רשפים ,מועצה אזורית עמק המעיינות ,1280
שלוחות ,מועצה אזורית עמק המעיינות ,615
יסודות ,מועצה אזורית נחל שורק ,847
גדעונה ,מועצה אזורית הגלבוע,541
כפר הנשיא ,מועצה אזורית הגליל העליון ,979
רגבים ,מועצה אזורית מנשה ,761
רמות מועצה אזורית מנשה ,מועצה אזורית מגידו ,1497
אודים ,מועצה אזורית חוף השרון ,1140
נורדיה ,מועצה אזורית לב השרון ,2023
בני עטרות ,מועצה אזורית חבל מודיעין ,891
נחלים ,מועצה אזורית חבל מודיעין ,1484
בארות יצחק ,מועצה אזורית חבל מודיעין ,575
יזרעאל ,מועצה אזורית הגלבוע,812
יפתח ,מועצה אזורית הגליל העליון ,810
סער ,מועצה אזורית מטה אשר ,1064
שורש ,מועצה אזורית מטה יהודה ,1280
גזית ,מועצה אזורית עמק יזרעאל ,942
רמת רזיאל ,מועצה אזורית מטה יהודה ,707
טל שחר ,מועצה אזורית מטה יהודה ,1262
געתון ,מועצה אזורית מטה אשר ,889
הראל ,מועצה אזורית מטה יהודה ,355
צובה ,מועצה אזורית מטה יהודה ,811
בית דגן , ,7703
קרית עקרון , ,11190
אבו גוש , ,8937
אבו סנאן , ,14879
דחי ,מועצה אזורית בוסתן-אל-מרג',770
אכסאל , ,16212
בית ג'ן , ,13060
מגאר , ,25188
בועיינה-נוג'ידאת , ,11212
בענה , ,8942
ג'ולס , ,7051
ג'ש )גוש חלב( , ,3454
דבוריה , ,11432
דייר אל-אסד , ,13765
דייר חנא , ,11525
דייר ראפאת ,מועצה אזורית מטה יהודה ,89
דאלית אל-כרמל , ,18898
חורפיש , ,7139
טייבה )בעמק( ,מועצה אזורית הגלבוע,2113
טורעאן , ,15847
יפיע , ,20876
ירכא , ,17215
כאבול , ,13522
כאוכב אבו אל-היגא , ,4177
כפר יאסיף , ,11318
כפר כמא , ,3759
כפר כנא , ,25484
כפר מנדא , ,22959
עילוט , ,9441
כפר מצר ,מועצה אזורית בוסתן-אל-מרג',2944
עין ראפה ,מועצה אזורית מטה יהודה ,1396
מג'ד אל-כרום , ,16597
מזרעה , ,4380
מעיליא , ,3455
משהד , ,9528
עין נקובא ,מועצה אזורית מטה יהודה ,4332
נחף , ,14727
ניין ,מועצה אזורית בוסתן-אל-מרג',2175
נאעורה ,מועצה אזורית הגלבוע,2627
סאג'ור , ,4668
סולם ,מועצה אזורית בוסתן-אל-מרג',3209
שזור ,מועצה אזורית מרום הגליל ,348
עוזייר ,מועצה אזורית אל-בטוף ,3688
אעבלין , ,14227
עיילבון , ,6012
עראבה , ,29131
עין מאהל , ,14842
עספיא , ,13329
פסוטה , ,3621
פקיעין )בוקייעה( , ,6456
פוריידיס , ,14262
שעב , ,8143
רומאנה ,מועצה אזורית אל-בטוף ,1377
ריחאניה ,מועצה אזורית מרום הגליל ,1325
ג'סר א-זרקא , ,16076
ריינה , ,17908
ראמה , ,8718
עין אל-אסד ,מועצה אזורית מרום הגליל ,961
טמרה )יזרעאל( ,מועצה אזורית הגלבוע,1767
גנות הדר ,מועצה אזורית לב השרון ,996
ניר בנים ,מועצה אזורית באר טוביה ,775
שדמה ,מועצה אזורית גדרות ,533
בוסתן הגליל ,מועצה אזורית מטה אשר ,1128
בית אלעזרי ,מועצה אזורית ברנר ,1601
משמר דוד ,מועצה אזורית גזר ,1551
רבדים ,מועצה אזורית יואב ,932
אזור , ,13778
גבעת שמש ,מועצה אזורית מטה יהודה ,7
צרעה ,מועצה אזורית מטה יהודה ,1299
מעונה ,מועצה אזורית מעלה יוסף ,942
בית גמליאל ,מועצה אזורית חבל יבנה ,1101
בית העמק ,מועצה אזורית מטה אשר ,837
מבקיעים ,מועצה אזורית חוף אשקלון ,602
גשר הזיו ,מועצה אזורית מטה אשר ,1761
יסעור ,מועצה אזורית מטה אשר ,995
כברי ,מועצה אזורית מטה אשר ,1249
יד בנימין ,מועצה אזורית נחל שורק ,4613
סאסא ,מועצה אזורית הגליל העליון ,523
כפר ראש הנקרה ,מועצה אזורית מטה אשר ,1518
"כרם מהר""ל ",מועצה אזורית חוף הכרמל ,1028
כפר הנגיד ,מועצה אזורית גן רווה ,1071
זיקים ,מועצה אזורית חוף אשקלון ,1207
לביא ,מועצה אזורית הגליל התחתון ,765
מועצה אזורית מגידו ,מועצה אזורית מגידו ,1009
סביון , ,5368
בני ראם ,מועצה אזורית נחל שורק ,1384
בצת ,מועצה אזורית מטה אשר ,707
נווה אור ,מועצה אזורית עמק המעיינות ,518
עשרת ,מועצה אזורית גדרות ,1071
בני דרום ,מועצה אזורית חבל יבנה ,1080
ערוגות ,מועצה אזורית באר טוביה ,985
צפריה ,מועצה אזורית שדות דן ,1021
לוחמי הגיטאות ,מועצה אזורית מטה אשר ,974
מלכיה ,מועצה אזורית הגליל העליון ,579
פלמחים ,מועצה אזורית גן רווה ,885
בית קמה ,מועצה אזורית בני שמעון ,1193
פרוד ,מועצה אזורית מרום הגליל ,756
נירים ,מועצה אזורית אשכול ,596
אלקוש ,מועצה אזורית מעלה יוסף ,292
בית עריף ,מועצה אזורית חבל מודיעין ,1038
כפר שמאי ,מועצה אזורית מרום הגליל ,607
מזור ,מועצה אזורית חבל מודיעין ,1151
מירון ,מועצה אזורית מרום הגליל ,977
כפר חושן ,מועצה אזורית מרום הגליל ,948
סתריה ,מועצה אזורית גזר ,1137
צרופה ,מועצה אזורית חוף הכרמל ,1122
ציפורי ,מועצה אזורית עמק יזרעאל ,1055
שומרה ,מועצה אזורית מעלה יוסף ,427
קדרון ,מועצה אזורית ברנר ,1695
רינתיה ,מועצה אזורית חבל מודיעין ,1020
ברקאי ,מועצה אזורית מנשה ,739
חדיד ,מועצה אזורית חבל מודיעין ,998
בית גוברין ,מועצה אזורית יואב ,498
משואות יצחק ,מועצה אזורית שפיר ,726
עין צורים ,מועצה אזורית שפיר ,887
יראון ,מועצה אזורית הגליל העליון ,484
ג'לג'וליה , ,11577
ג'ת , ,13688
כפר ברא , ,4487
כפר קאסם , ,27510
מוקייבלה ,מועצה אזורית הגלבוע,4753
צנדלה ,מועצה אזורית הגלבוע,2031
ערערה , ,22124
קלנסווה , ,25571
מצר ,מועצה אזורית מנשה ,578
מייסר ,מועצה אזורית מנשה ,2208
אבטין ,מועצה אזורית זבולון ,3064
כפר קרע , ,21753
שייח' דנון ,מועצה אזורית מטה אשר ,3206
שער אפרים ,מועצה אזורית לב השרון ,2004
חוסן ,מועצה אזורית מעלה יוסף ,1275
טירת יהודה ,מועצה אזורית חבל מודיעין ,1239
כרם בן זמרה ,מועצה אזורית מרום הגליל ,668
תקומה ,מועצה אזורית שדות נגב ,893
עומר , ,9069
ברעם ,מועצה אזורית הגליל העליון ,763
מפלסים ,מועצה אזורית שער הנגב ,1032
משמר איילון ,מועצה אזורית גזר ,598
בית נקופה ,מועצה אזורית מטה יהודה ,694
כפר טרומן ,מועצה אזורית חבל מודיעין ,827
לימן ,מועצה אזורית מטה אשר ,890
הבונים ,מועצה אזורית חוף הכרמל ,578
עין השלושה ,מועצה אזורית אשכול ,408
הסוללים ,מועצה אזורית עמק יזרעאל ,1072
מעגן ,מועצה אזורית עמק הירדן ,480
אביאל ,מועצה אזורית אלונה ,821
אומץ ,מועצה אזורית עמק חפר ,784
גבעת שמואל , ,32232
אליקים ,מועצה אזורית מגידו ,937
גבע כרמל ,מועצה אזורית חוף הכרמל ,1090
היוגב ,מועצה אזורית עמק יזרעאל ,1047
בניה ,מועצה אזורית ברנר ,882
נווה ימין ,מועצה אזורית דרום השרון ,1264
עין איילה ,מועצה אזורית חוף הכרמל ,1198
עלמה ,מועצה אזורית מרום הגליל ,901
מגדים ,מועצה אזורית חוף הכרמל ,1223
כפר אחים ,מועצה אזורית באר טוביה ,813
מועצה אזורית שפיר ,מועצה אזורית שפיר ,1022
"נתיב הל""ה ",מועצה אזורית מטה יהודה ,740
מעגן מיכאל ,מועצה אזורית חוף הכרמל ,2468
מגן ,מועצה אזורית אשכול ,631
"כפר חב""ד ",מועצה אזורית שדות דן ,8221
בארותיים ,מועצה אזורית עמק חפר ,1138
בורגתה ,מועצה אזורית עמק חפר ,1172
ניר ישראל ,מועצה אזורית חוף אשקלון ,894
חצב ,מועצה אזורית באר טוביה ,1360
ארבל ,מועצה אזורית הגליל התחתון ,763
האון ,מועצה אזורית עמק הירדן ,210
גבעת עוז ,מועצה אזורית מגידו ,574
נחשונים ,מועצה אזורית דרום השרון ,559
גיאה ,מועצה אזורית חוף אשקלון ,895
כפר דניאל ,מועצה אזורית חבל מודיעין ,654
עמקה ,מועצה אזורית מטה אשר ,968
תפרח ,מועצה אזורית מרחבים ,2296
בית זית ,מועצה אזורית מטה יהודה ,1493
עזריה ,מועצה אזורית גזר ,1215
בן עמי ,מועצה אזורית מטה אשר ,826
רעים ,מועצה אזורית אשכול ,524
ארז ,מועצה אזורית שער הנגב ,712
להבות חביבה ,מועצה אזורית מנשה ,1103
אייל ,מועצה אזורית דרום השרון ,658
חגור ,מועצה אזורית דרום השרון ,1040
ירחיב ,מועצה אזורית דרום השרון ,1134
תל קציר ,מועצה אזורית עמק הירדן ,638
ניר גלים ,מועצה אזורית חבל יבנה ,1273
שדה אילן ,מועצה אזורית הגליל התחתון ,828
מגשימים ,מועצה אזורית דרום השרון ,956
בית הגדי ,מועצה אזורית שדות נגב ,981
הודיה ,מועצה אזורית חוף אשקלון ,817
תלמי יחיאל ,מועצה אזורית באר טוביה ,959
משמר השבעה ,מועצה אזורית שדות דן ,1026
אליפלט ,מועצה אזורית מבואות החרמון ,838
מישר ,מועצה אזורית גדרות ,730
משמר הירדן ,מועצה אזורית מבואות החרמון ,875
גן יאשיה ,מועצה אזורית עמק חפר ,972
רמות מאיר ,מועצה אזורית גזר ,783
גילת ,מועצה אזורית מרחבים ,1663
עולש ,מועצה אזורית עמק חפר ,1190
דור ,מועצה אזורית חוף הכרמל ,453
שדה עוזיהו ,מועצה אזורית באר טוביה ,1490
אשתאול ,מועצה אזורית מטה יהודה ,1092
שואבה ,מועצה אזורית מטה יהודה ,600
מסילת ציון ,מועצה אזורית מטה יהודה ,1015
כפר שמואל ,מועצה אזורית גזר ,948
תלמי יפה ,מועצה אזורית חוף אשקלון ,712
גמזו ,מועצה אזורית חבל מודיעין ,1122
ברכיה ,מועצה אזורית חוף אשקלון ,1250
בית שקמה ,מועצה אזורית חוף אשקלון ,894
מסלול ,מועצה אזורית מרחבים ,924
פטיש ,מועצה אזורית מרחבים ,1066
פדויים ,מועצה אזורית מרחבים ,496
בית מאיר ,מועצה אזורית מטה יהודה ,404
תעוז ,מועצה אזורית מטה יהודה ,642
ינוב ,מועצה אזורית לב השרון ,877
גורן ,מועצה אזורית מעלה יוסף ,479
בית עזרא ,מועצה אזורית באר טוביה ,1094
מצליח ,מועצה אזורית גזר ,1362
יד חנה ,מועצה אזורית עמק חפר ,1103
יציץ ,מועצה אזורית גזר ,884
בן זכאי ,מועצה אזורית חבל יבנה ,887
שובה ,מועצה אזורית שדות נגב ,904
בטחה ,מועצה אזורית מרחבים ,866
שתולים ,מועצה אזורית באר טוביה ,2043
כפר מרדכי ,מועצה אזורית גדרות ,694
מועצה אזורית משגב דב ,מועצה אזורית גדרות ,776
קוממיות ,מועצה אזורית שפיר ,523
פורת ,מועצה אזורית לב השרון ,1445
כרמיה ,מועצה אזורית חוף אשקלון ,820
ניר עציון ,מועצה אזורית חוף הכרמל ,670
מבוא ביתר ,מועצה אזורית מטה יהודה ,1170
אמונים ,מועצה אזורית באר טוביה ,1003
עמיקם ,מועצה אזורית אלונה ,780
צוריאל ,מועצה אזורית מעלה יוסף ,499
יד נתן ,מועצה אזורית לכיש ,583
